geoid,name,population,providers,per100Kpeople,prov_patient_ratio,state,state_name,under50per
13031,"Bulloch County, Georgia",77719,127,163.4,612,13,Georgia,Not
13121,"Fulton County, Georgia",1051550,3483,331.2,301.9,13,Georgia,Not
13179,"Liberty County, Georgia",62039,188,303,330,13,Georgia,Not
13189,"McDuffie County, Georgia",21404,15,70.1,1426.9,13,Georgia,Not
13213,"Murray County, Georgia",39789,15,37.7,2652.6,13,Georgia,Under50
13209,"Montgomery County, Georgia",9069,8,88.2,1133.6,13,Georgia,Not
13139,"Hall County, Georgia",201434,262,130.1,768.8,13,Georgia,Not
13245,"Richmond County, Georgia",202178,665,328.9,304,13,Georgia,Not
13049,"Charlton County, Georgia",13032,3,23,4344,13,Georgia,Under50
13141,"Hancock County, Georgia",8500,3,35.3,2833.3,13,Georgia,Under50
13157,"Jackson County, Georgia",70467,53,75.2,1329.6,13,Georgia,Not
13315,"Wilcox County, Georgia",8701,2,23,4350.5,13,Georgia,Under50
13241,"Rabun County, Georgia",16859,30,177.9,562,13,Georgia,Not
13269,"Taylor County, Georgia",8126,1,12.3,8126,13,Georgia,Under50
13177,"Lee County, Georgia",29735,14,47.1,2123.9,13,Georgia,Under50
13279,"Toombs County, Georgia",26947,20,74.2,1347.3,13,Georgia,Not
13007,"Baker County, Georgia",3090,1,32.4,3090,13,Georgia,Under50
34015,"Gloucester County, New Jersey",291745,431,147.7,676.9,34,New Jersey,Not
34023,"Middlesex County, New Jersey",825015,1549,187.8,532.6,34,New Jersey,Not
34035,"Somerset County, New Jersey",330151,837,253.5,394.4,34,New Jersey,Not
34031,"Passaic County, New Jersey",502763,822,163.5,611.6,34,New Jersey,Not
34021,"Mercer County, New Jersey",368085,1285,349.1,286.4,34,New Jersey,Not
34009,"Cape May County, New Jersey",92701,89,96,1041.6,34,New Jersey,Not
35031,"McKinley County, New Mexico",71956,116,161.2,620.3,35,New Mexico,Not
35013,"Doña Ana County, New Mexico",217696,753,345.9,289.1,35,New Mexico,Not
28059,"Jackson County, Mississippi",142872,163,114.1,876.5,28,Mississippi,Not
02170,"Matanuska-Susitna Borough, Alaska",107360,371,345.6,289.4,02,Alaska,Not
35033,"Mora County, New Mexico",4500,3,66.7,1500,35,New Mexico,Not
53067,"Thurston County, Washington",284698,1305,458.4,218.2,53,Washington,Not
51147,"Prince Edward County, Virginia",22892,62,270.8,369.2,51,Virginia,Not
01009,"Blount County, Alabama",57755,12,20.8,4812.9,01,Alabama,Under50
01095,"Marshall County, Alabama",96137,164,170.6,586.2,01,Alabama,Not
51029,"Buckingham County, Virginia",17087,8,46.8,2135.9,51,Virginia,Under50
51139,"Page County, Virginia",23862,13,54.5,1835.5,51,Virginia,Not
53017,"Douglas County, Washington",42520,17,40,2501.2,53,Washington,Under50
51153,"Prince William County, Virginia",466834,850,182.1,549.2,51,Virginia,Not
51171,"Shenandoah County, Virginia",43441,30,69.1,1448,51,Virginia,Not
01043,"Cullman County, Alabama",83345,86,103.2,969.1,01,Alabama,Not
51061,"Fauquier County, Virginia",70353,82,116.6,858,51,Virginia,Not
53021,"Franklin County, Washington",93681,87,92.9,1076.8,53,Washington,Not
53019,"Ferry County, Washington",7643,9,117.8,849.2,53,Washington,Not
53029,"Island County, Washington",84187,350,415.7,240.5,53,Washington,Not
53075,"Whitman County, Washington",49577,91,183.6,544.8,53,Washington,Not
33017,"Strafford County, New Hampshire",130161,283,217.4,459.9,33,New Hampshire,Not
31093,"Howard County, Nebraska",6428,3,46.7,2142.7,31,Nebraska,Under50
31115,"Loup County, Nebraska",690,0,0,NA,31,Nebraska,Under50
51001,"Accomack County, Virginia",32560,41,125.9,794.1,51,Virginia,Not
21101,"Henderson County, Kentucky",45550,49,107.6,929.6,21,Kentucky,Not
21093,"Hardin County, Kentucky",109627,454,414.1,241.5,21,Kentucky,Not
51119,"Middlesex County, Virginia",10642,8,75.2,1330.2,51,Virginia,Not
22075,"Plaquemines Parish, Louisiana",23305,29,124.4,803.6,22,Louisiana,Not
22107,"Tensas Parish, Louisiana",4435,4,90.2,1108.8,22,Louisiana,Not
51193,"Westmoreland County, Virginia",17873,4,22.4,4468.2,51,Virginia,Under50
22119,"Webster Parish, Louisiana",38813,52,134,746.4,22,Louisiana,Not
23027,"Waldo County, Maine",39723,62,156.1,640.7,23,Maine,Not
51091,"Highland County, Virginia",2202,4,181.7,550.5,51,Virginia,Not
21013,"Bell County, Kentucky",26426,24,90.8,1101.1,21,Kentucky,Not
21131,"Leslie County, Kentucky",10081,9,89.3,1120.1,21,Kentucky,Not
51083,"Halifax County, Virginia",34295,34,99.1,1008.7,51,Virginia,Not
23023,"Sagadahoc County, Maine",35720,50,140,714.4,23,Maine,Not
21235,"Whitley County, Kentucky",36252,261,720,138.9,21,Kentucky,Not
24041,"Talbot County, Maryland",37087,158,426,234.7,24,Maryland,Not
24033,"Prince George's County, Maryland",910551,2254,247.5,404,24,Maryland,Not
24035,"Queen Anne's County, Maryland",50163,67,133.6,748.7,24,Maryland,Not
24023,"Garrett County, Maryland",29155,62,212.7,470.2,24,Maryland,Not
51165,"Rockingham County, Virginia",81138,30,37,2704.6,51,Virginia,Under50
37083,"Halifax County, North Carolina",50678,82,161.8,618,37,North Carolina,Not
37179,"Union County, North Carolina",235767,279,118.3,845,37,North Carolina,Not
37129,"New Hanover County, North Carolina",231448,984,425.1,235.2,37,North Carolina,Not
37163,"Sampson County, North Carolina",63284,30,47.4,2109.5,37,North Carolina,Under50
37031,"Carteret County, North Carolina",69301,101,145.7,686.1,37,North Carolina,Not
37183,"Wake County, North Carolina",1091662,3708,339.7,294.4,37,North Carolina,Not
37119,"Mecklenburg County, North Carolina",1095170,3914,357.4,279.8,37,North Carolina,Not
37087,"Haywood County, North Carolina",61862,194,313.6,318.9,37,North Carolina,Not
37141,"Pender County, North Carolina",61891,72,116.3,859.6,37,North Carolina,Not
37021,"Buncombe County, North Carolina",259576,1648,634.9,157.5,37,North Carolina,Not
37047,"Columbus County, North Carolina",55659,88,158.1,632.5,37,North Carolina,Not
37039,"Cherokee County, North Carolina",28413,33,116.1,861,37,North Carolina,Not
37171,"Surry County, North Carolina",71904,96,133.5,749,37,North Carolina,Not
37093,"Hoke County, North Carolina",54590,100,183.2,545.9,37,North Carolina,Not
37105,"Lee County, North Carolina",61083,109,178.4,560.4,37,North Carolina,Not
37173,"Swain County, North Carolina",14241,22,154.5,647.3,37,North Carolina,Not
37015,"Bertie County, North Carolina",19081,11,57.6,1734.6,37,North Carolina,Not
37175,"Transylvania County, North Carolina",34039,78,229.1,436.4,37,North Carolina,Not
18083,"Knox County, Indiana",36833,48,130.3,767.4,18,Indiana,Not
18183,"Whitley County, Indiana",33899,20,59,1695,18,Indiana,Not
18089,"Lake County, Indiana",485983,840,172.8,578.6,18,Indiana,Not
18051,"Gibson County, Indiana",33711,12,35.6,2809.2,18,Indiana,Under50
18071,"Jackson County, Indiana",44077,41,93,1075,18,Indiana,Not
18061,"Harrison County, Indiana",40164,15,37.3,2677.6,18,Indiana,Under50
21071,"Floyd County, Kentucky",35931,228,634.5,157.6,21,Kentucky,Not
20123,"Mitchell County, Kansas",6053,7,115.6,864.7,20,Kansas,Not
